Driver,QualifyingPosition,Winner,Race
ALB,5,0,2020 Austrian Grand Prix
BOT,1,1,2020 Austrian Grand Prix
GAS,12,0,2020 Austrian Grand Prix
GIO,18,0,2020 Austrian Grand Prix
GRO,15,0,2020 Austrian Grand Prix
HAM,2,0,2020 Austrian Grand Prix
KVY,13,0,2020 Austrian Grand Prix
LAT,20,0,2020 Austrian Grand Prix
LEC,7,0,2020 Austrian Grand Prix
MAG,16,0,2020 Austrian Grand Prix
NOR,4,0,2020 Austrian Grand Prix
OCO,14,0,2020 Austrian Grand Prix
PER,6,0,2020 Austrian Grand Prix
RAI,19,0,2020 Austrian Grand Prix
RIC,10,0,2020 Austrian Grand Prix
RUS,17,0,2020 Austrian Grand Prix
SAI,9,0,2020 Austrian Grand Prix
STR,8,0,2020 Austrian Grand Prix
VER,3,0,2020 Austrian Grand Prix
VET,11,0,2020 Austrian Grand Prix
ALB,13,0,2020 Hungarian Grand Prix
BOT,2,0,2020 Hungarian Grand Prix
GAS,10,0,2020 Hungarian Grand Prix
GIO,19,0,2020 Hungarian Grand Prix
GRO,18,0,2020 Hungarian Grand Prix
HAM,1,1,2020 Hungarian Grand Prix
KVY,17,0,2020 Hungarian Grand Prix
LAT,15,0,2020 Hungarian Grand Prix
LEC,6,0,2020 Hungarian Grand Prix
MAG,16,0,2020 Hungarian Grand Prix
NOR,8,0,2020 Hungarian Grand Prix
OCO,14,0,2020 Hungarian Grand Prix
PER,4,0,2020 Hungarian Grand Prix
RAI,20,0,2020 Hungarian Grand Prix
RIC,12,0,2020 Hungarian Grand Prix
RUS,11,0,2020 Hungarian Grand Prix
SAI,9,0,2020 Hungarian Grand Prix
STR,3,0,2020 Hungarian Grand Prix
VER,7,0,2020 Hungarian Grand Prix
VET,5,0,2020 Hungarian Grand Prix
ALB,13,0,2020 British Grand Prix
BOT,2,0,2020 British Grand Prix
GAS,12,0,2020 British Grand Prix
GIO,17,0,2020 British Grand Prix
GRO,18,0,2020 British Grand Prix
HAM,1,1,2020 British Grand Prix
HUL,11,0,2020 British Grand Prix
KVY,15,0,2020 British Grand Prix
LAT,20,0,2020 British Grand Prix
LEC,4,0,2020 British Grand Prix
MAG,16,0,2020 British Grand Prix
NOR,5,0,2020 British Grand Prix
OCO,10,0,2020 British Grand Prix
RAI,19,0,2020 British Grand Prix
RIC,8,0,2020 British Grand Prix
RUS,14,0,2020 British Grand Prix
SAI,7,0,2020 British Grand Prix
STR,6,0,2020 British Grand Prix
VER,3,0,2020 British Grand Prix
VET,9,0,2020 British Grand Prix
ALB,9,0,2020 70th Anniversary Grand Prix
BOT,1,0,2020 70th Anniversary Grand Prix
GAS,7,0,2020 70th Anniversary Grand Prix
GIO,19,0,2020 70th Anniversary Grand Prix
GRO,14,0,2020 70th Anniversary Grand Prix
HAM,2,0,2020 70th Anniversary Grand Prix
HUL,3,0,2020 70th Anniversary Grand Prix
KVY,16,0,2020 70th Anniversary Grand Prix
LAT,18,0,2020 70th Anniversary Grand Prix
LEC,8,0,2020 70th Anniversary Grand Prix
MAG,17,0,2020 70th Anniversary Grand Prix
NOR,10,0,2020 70th Anniversary Grand Prix
OCO,11,0,2020 70th Anniversary Grand Prix
RAI,20,0,2020 70th Anniversary Grand Prix
RIC,5,0,2020 70th Anniversary Grand Prix
RUS,15,0,2020 70th Anniversary Grand Prix
SAI,13,0,2020 70th Anniversary Grand Prix
STR,6,0,2020 70th Anniversary Grand Prix
VER,4,1,2020 70th Anniversary Grand Prix
VET,12,0,2020 70th Anniversary Grand Prix
ALB,9,0,2020 Spanish Grand Prix
BOT,2,0,2020 Spanish Grand Prix
GAS,6,0,2020 Spanish Grand Prix
GIO,20,0,2020 Spanish Grand Prix
GRO,17,0,2020 Spanish Grand Prix
HAM,1,1,2020 Spanish Grand Prix
KVY,12,0,2020 Spanish Grand Prix
LAT,19,0,2020 Spanish Grand Prix
LEC,8,0,2020 Spanish Grand Prix
MAG,16,0,2020 Spanish Grand Prix
NOR,10,0,2020 Spanish Grand Prix
OCO,15,0,2020 Spanish Grand Prix
PER,4,0,2020 Spanish Grand Prix
RAI,14,0,2020 Spanish Grand Prix
RIC,13,0,2020 Spanish Grand Prix
RUS,18,0,2020 Spanish Grand Prix
SAI,7,0,2020 Spanish Grand Prix
STR,5,0,2020 Spanish Grand Prix
VER,3,0,2020 Spanish Grand Prix
VET,11,0,2020 Spanish Grand Prix
ALB,5,0,2020 Belgian Grand Prix
BOT,2,0,2020 Belgian Grand Prix
GAS,12,0,2020 Belgian Grand Prix
GIO,18,0,2020 Belgian Grand Prix
GRO,17,0,2020 Belgian Grand Prix
HAM,1,1,2020 Belgian Grand Prix
KVY,11,0,2020 Belgian Grand Prix
LAT,19,0,2020 Belgian Grand Prix
LEC,13,0,2020 Belgian Grand Prix
MAG,20,0,2020 Belgian Grand Prix
NOR,10,0,2020 Belgian Grand Prix
